Order ID,Customer ID,Product_ID,Store_Branch_ID,Sales,Ship_Mode_ID,Order_Date,Ship_Date
CA-2017-152156,CG-12520,FUR-BO-10001798,1,261.96,1,2017-11-08,2017-11-11
CA-2017-152156,CG-12520,FUR-CH-10000454,1,731.94,1,2017-11-08,2017-11-11
CA-2017-138688,DV-13045,OFF-LA-10000240,2,14.62,1,2017-06-12,2017-06-16
US-2016-108966,SO-20335,FUR-TA-10000577,3,957.5775,2,2016-10-11,2016-10-18
US-2016-108966,SO-20335,OFF-ST-10000760,3,22.368,2,2016-10-11,2016-10-18
CA-2015-115812,BH-11710,FUR-FU-10001487,4,48.86,2,2015-06-09,2015-06-14
CA-2015-115812,BH-11710,OFF-AR-10002833,4,7.28,2,2015-06-09,2015-06-14
CA-2015-115812,BH-11710,TEC-PH-10002275,4,907.152,2,2015-06-09,2015-06-14
CA-2015-115812,BH-11710,OFF-BI-10003910,4,18.504,2,2015-06-09,2015-06-14
CA-2015-115812,BH-11710,OFF-AP-10002892,4,114.9,2,2015-06-09,2015-06-14
CA-2015-115812,BH-11710,FUR-TA-10001539,4,1706.184,2,2015-06-09,2015-06-14
CA-2015-115812,BH-11710,TEC-PH-10002033,4,911.424,2,2015-06-09,2015-06-14
CA-2018-114412,AA-10480,OFF-PA-10002365,5,15.552,2,2018-04-15,2018-04-20
CA-2017-161389,IM-15070,OFF-BI-10003656,6,407.976,2,2017-12-05,2017-12-10
US-2016-118983,HP-14815,OFF-AP-10002311,7,68.81,2,2016-11-22,2016-11-26
US-2016-118983,HP-14815,OFF-BI-10000756,7,2.544,2,2016-11-22,2016-11-26
CA-2015-105893,PK-19075,OFF-ST-10004186,8,665.88,2,2015-11-11,2015-11-18
CA-2015-167164,AG-10270,OFF-ST-10000107,9,55.5,1,2015-05-13,2015-05-15
CA-2015-143336,ZD-21925,OFF-AR-10003056,10,8.56,1,2015-08-27,2015-09-01
CA-2015-143336,ZD-21925,TEC-PH-10001949,10,213.48,1,2015-08-27,2015-09-01
CA-2015-143336,ZD-21925,OFF-BI-10002215,10,22.72,1,2015-08-27,2015-09-01
CA-2017-137330,KB-16585,OFF-AR-10000246,11,19.46,2,2017-12-09,2017-12-13
CA-2017-137330,KB-16585,OFF-AP-10001492,11,60.34,2,2017-12-09,2017-12-13
US-2018-156909,SF-20065,FUR-CH-10002774,12,71.372,1,2018-07-16,2018-07-18
CA-2016-106320,EB-13870,FUR-TA-10000577-2,13,1044.63,2,2016-09-25,2016-09-30
CA-2017-121755,EH-13945,OFF-BI-10001634,14,11.648,1,2017-01-16,2017-01-20
CA-2017-121755,EH-13945,TEC-AC-10003027,14,90.57,1,2017-01-16,2017-01-20
US-2016-150630,TB-21520,FUR-BO-10004834,12,3083.43,2,2016-09-17,2016-09-21
US-2016-150630,TB-21520,OFF-BI-10000474,12,9.618,2,2016-09-17,2016-09-21
US-2016-150630,TB-21520,FUR-FU-10004848,12,124.2,2,2016-09-17,2016-09-21
US-2016-150630,TB-21520,OFF-EN-10001509,12,3.264,2,2016-09-17,2016-09-21
US-2016-150630,TB-21520,OFF-AR-10004042,12,86.304,2,2016-09-17,2016-09-21
US-2016-150630,TB-21520,OFF-BI-10001525,12,6.858,2,2016-09-17,2016-09-21
US-2016-150630,TB-21520,OFF-AR-10001683,12,15.76,2,2016-09-17,2016-09-21
CA-2018-107727,MA-17560,OFF-PA-10000249,15,29.472,1,2018-10-19,2018-10-23
CA-2017-117590,GH-14485,TEC-PH-10004977,16,1097.544,3,2017-12-08,2017-12-10
CA-2017-117590,GH-14485,FUR-FU-10003664,16,190.92,3,2017-12-08,2017-12-10
CA-2016-117415,SN-20710,OFF-EN-10002986,17,113.328,2,2016-12-27,2016-12-31
CA-2016-117415,SN-20710,FUR-BO-10002545,17,532.3992,2,2016-12-27,2016-12-31
CA-2016-117415,SN-20710,FUR-CH-10004218,17,212.058,2,2016-12-27,2016-12-31
CA-2016-117415,SN-20710,TEC-PH-10000486,17,371.168,2,2016-12-27,2016-12-31
CA-2018-120999,LC-16930,TEC-PH-10004093,18,147.168,2,2018-09-10,2018-09-15
CA-2017-101343,RA-19885,OFF-ST-10003479,14,77.88,2,2017-07-17,2017-07-22
CA-2018-139619,ES-14080,OFF-ST-10003282,19,95.616,2,2018-09-19,2018-09-23
CA-2017-118255,ON-18715,TEC-AC-10000171,20,45.98,3,2017-03-11,2017-03-13
CA-2017-118255,ON-18715,OFF-BI-10003291,20,17.46,3,2017-03-11,2017-03-13
CA-2015-146703,PO-18865,OFF-ST-10001713,21,211.96,1,2015-10-20,2015-10-25
CA-2017-169194,LH-16900,TEC-AC-10002167,22,45.0,2,2017-06-20,2017-06-25
CA-2017-169194,LH-16900,TEC-PH-10003988,22,21.8,2,2017-06-20,2017-06-25
CA-2016-115742,DP-13000,OFF-BI-10004410,23,38.22,2,2016-04-18,2016-04-22
CA-2016-115742,DP-13000,OFF-LA-10002762,23,75.18,2,2016-04-18,2016-04-22
CA-2016-115742,DP-13000,FUR-FU-10001706,23,6.16,2,2016-04-18,2016-04-22
CA-2016-115742,DP-13000,FUR-CH-10003061,23,89.99,2,2016-04-18,2016-04-22
CA-2017-105816,JM-15265,OFF-FA-10000304,24,15.26,2,2017-12-11,2017-12-17
CA-2017-105816,JM-15265,TEC-PH-10002447,24,1029.95,2,2017-12-11,2017-12-17
CA-2017-111682,TB-21055,OFF-ST-10000604,25,208.56,3,2017-06-17,2017-06-18
CA-2017-111682,TB-21055,OFF-PA-10001569,25,32.4,3,2017-06-17,2017-06-18
CA-2017-111682,TB-21055,FUR-CH-10003968,25,319.41,3,2017-06-17,2017-06-18
CA-2017-111682,TB-21055,OFF-PA-10000587,25,14.56,3,2017-06-17,2017-06-18
CA-2017-111682,TB-21055,TEC-AC-10002167-2,25,30.0,3,2017-06-17,2017-06-18
CA-2017-111682,TB-21055,OFF-BI-10001460,25,48.48,3,2017-06-17,2017-06-18
CA-2017-111682,TB-21055,OFF-AR-10001868,25,1.68,3,2017-06-17,2017-06-18
CA-2016-135545,KM-16720,TEC-AC-10004633,26,13.98,2,2016-11-24,2016-11-30
CA-2016-135545,KM-16720,OFF-BI-10001078,26,25.824,2,2016-11-24,2016-11-30
CA-2016-135545,KM-16720,OFF-PA-10003892,26,146.73,2,2016-11-24,2016-11-30
CA-2016-135545,KM-16720,FUR-FU-10000397,26,79.76,2,2016-11-24,2016-11-30
US-2016-164175,PS-18970,FUR-CH-10001146,27,213.115,2,2016-04-30,2016-05-05
CA-2015-106376,BS-11590,OFF-AR-10002671,28,1113.024,2,2015-12-05,2015-12-10
CA-2015-106376,BS-11590,TEC-PH-10002726,28,167.968,2,2015-12-05,2015-12-10
CA-2017-119823,KD-16270,OFF-PA-10000482,29,75.88,3,2017-06-04,2017-06-06
CA-2017-106075,HM-14980,OFF-BI-10004654,30,4.616,2,2017-09-18,2017-09-23
CA-2018-114440,TB-21520,OFF-PA-10004675,31,19.05,1,2018-09-14,2018-09-17
US-2016-134026,JE-15745,FUR-CH-10000513,32,831.936,2,2016-04-26,2016-05-02
US-2016-134026,JE-15745,FUR-FU-10003708,32,97.04,2,2016-04-26,2016-05-02
US-2016-134026,JE-15745,OFF-ST-10004123,32,72.784,2,2016-04-26,2016-05-02
US-2018-118038,KB-16600,OFF-BI-10004182,17,1.248,3,2018-12-09,2018-12-11
US-2018-118038,KB-16600,FUR-FU-10000260,17,9.708,3,2018-12-09,2018-12-11
US-2018-118038,KB-16600,OFF-ST-10000615,17,27.24,3,2018-12-09,2018-12-11
